produto,sigla_uf,data_coleta,preco_medio,preco_minimo,preco_maximo
Gasolina,SP,2022-02-14,6.2894949494949494949495,5.690000000000000000,6.990000000000000000
Gasolina,SP,2022-11-30,4.8831974921630094043887,4.190000000000000000,6.990000000000000000
Gasolina,RJ,2022-05-17,7.8035365853658536585366,7.220000000000000000,8.490000000000000000
Gasolina,SP,2022-03-22,6.8718918918918918918919,6.250000000000000000,8.490000000000000000
Gasolina,SP,2022-03-31,6.8102523659305993690852,6.190000000000000000,7.790000000000000000
Gasolina,SP,2022-12-19,4.8452702702702702702703,4.300000000000000000,6.990000000000000000
Gasolina,SP,2022-04-21,6.8907936507936507936508,6.550000000000000000,7.190000000000000000
Gasolina,SP,2022-03-29,6.8721220930232558139535,6.190000000000000000,7.640000000000000000
Gasolina,SP,2022-11-01,4.8876250000000000000000,4.390000000000000000,6.490000000000000000
Gasolina,RJ,2022-10-17,4.9397297297297297297297,4.590000000000000000,5.500000000000000000
Gasolina,SP,2022-02-24,6.3188127853881278538813,5.650000000000000000,6.910000000000000000
Gasolina,RJ,2022-08-17,5.4895714285714285714286,4.990000000000000000,5.980000000000000000
Gasolina,RJ,2022-10-04,4.9306896551724137931034,4.750000000000000000,5.290000000000000000
Gasolina,SP,2022-05-12,6.9180000000000000000000,6.350000000000000000,7.890000000000000000
Gasolina,RJ,2022-10-25,5.0226086956521739130435,4.640000000000000000,5.690000000000000000
Gasolina,RJ,2022-11-01,5.0281428571428571428571,4.690000000000000000,5.540000000000000000
Gasolina,SP,2022-04-01,6.9547826086956521739130,6.840000000000000000,7.100000000000000000
Gasolina,SP,2022-10-11,4.7029139072847682119205,4.290000000000000000,5.490000000000000000
Gasolina,RJ,2022-03-23,7.7210714285714285714286,7.280000000000000000,8.190000000000000000
Gasolina,SP,2022-06-29,6.6022795698924731182796,5.790000000000000000,8.690000000000000000
Gasolina,RJ,2022-07-20,6.0517831325301204819277,5.289000000000000000,6.780000000000000000
Gasolina,RJ,2022-10-20,5.0900000000000000000000,5.090000000000000000,5.090000000000000000
Gasolina,SP,2022-02-02,6.3766582278481012658228,5.870000000000000000,7.390000000000000000
Gasolina,SP,2022-02-22,6.3301538461538461538462,5.730000000000000000,7.490000000000000000
Gasolina,SP,2022-03-04,6.5460000000000000000000,6.290000000000000000,6.690000000000000000
Gasolina,SP,2022-09-12,4.8422805139186295503212,4.290000000000000000,6.990000000000000000
Gasolina,SP,2022-12-12,4.8708401084010840108401,4.250000000000000000,6.990000000000000000
Gasolina,SP,2022-05-23,6.9145279383429672447013,6.390000000000000000,8.590000000000000000
Gasolina,SP,2022-12-08,4.8980116959064327485380,4.380000000000000000,5.490000000000000000
Gasolina,RJ,2022-05-02,7.9046496815286624203822,7.350000000000000000,8.510000000000000000
Gasolina,SP,2022-11-21,4.9176322418136020151134,4.380000000000000000,6.990000000000000000
Gasolina,SP,2022-03-17,6.8390214067278287461774,6.180000000000000000,7.790000000000000000
Gasolina,SP,2022-09-06,4.9002014652014652014652,4.350000000000000000,6.990000000000000000
Gasolina,RJ,2022-02-22,7.1441525423728813559322,6.590000000000000000,7.790000000000000000
Gasolina,SP,2022-08-25,5.0659421052631578947368,4.590000000000000000,6.090000000000000000
Gasolina,RJ,2022-04-27,8.0253571428571428571429,7.590000000000000000,8.380000000000000000
Gasolina,RJ,2022-09-13,5.1286274509803921568627,4.690000000000000000,5.790000000000000000
Gasolina,SP,2022-02-15,6.3258145363408521303258,5.740000000000000000,7.590000000000000000
Gasolina,RJ,2022-01-27,7.2177631578947368421053,6.730000000000000000,7.790000000000000000
Gasolina,RJ,2022-04-21,8.1066666666666666666667,7.890000000000000000,8.440000000000000000
Gasolina,RJ,2022-05-23,7.8423584905660377358491,7.480000000000000000,8.390000000000000000
Gasolina,SP,2022-10-05,4.6676923076923076923077,4.390000000000000000,5.190000000000000000
Gasolina,RJ,2022-11-09,5.1203333333333333333333,4.790000000000000000,5.490000000000000000
Gasolina,RJ,2022-11-21,5.0983168316831683168317,4.750000000000000000,5.630000000000000000
Gasolina,SP,2022-01-28,6.5100000000000000000000,6.370000000000000000,6.690000000000000000
Gasolina,SP,2022-05-18,6.9722029702970297029703,6.350000000000000000,8.590000000000000000
Gasolina,RJ,2022-10-12,4.9300000000000000000000,4.750000000000000000,4.990000000000000000
Gasolina,SP,2022-09-07,4.7039215686274509803922,4.370000000000000000,5.390000000000000000
